Call prices,Mean Squared Error Delta-Vega Hedging
ATM - 10,2.311284224733999
ATM - 5,1.7476754283630647
ATM,1.1496595155057925
ATM + 5,0.7023839902070445
ATM + 10,0.38546637626559466
