Underlying,Date,T,r,E,Cobs,volatility,Delta,Vega,Gamma
0.36069,2023-11-09,0.07142857142857142,0.0005,0.335,0.02759,0.2651642529385833,0.8596069829277814,0.021496947304676346,8.72412034639103
0.36967,2023-11-10,0.06746031746031746,0.0005,0.335,0.03469,0.14476894215333577,0.9958397589000201,0.0011781941788954657,0.8828047802279033
0.36668,2023-11-13,0.05555555555555555,0.0005,0.335,0.03175,0.17143720600782908,0.987997526420586,0.0026999348509056617,2.1083672636924065
0.36985,2023-11-17,0.03968253968253968,0.0005,0.335,0.03485,0.1466044068042812,0.9996680430764843,8.953853160035789e-05,0.11251546970325368
0.32188,2023-08-21,0.3888888888888889,0.0005,0.34,0.01122,0.22972875409991264,0.37854703269352097,0.07633843305979872,8.247348828511596
0.32245999999999997,2023-08-22,0.38492063492063494,0.0005,0.34,0.01133,0.22945568296535934,0.38226703774381016,0.07631135649575221,8.30935784456051
0.327,2023-08-23,0.38095238095238093,0.0005,0.34,0.01305,0.2293544057206367,0.4194613351413965,0.07887162231846974,8.442041628643292
0.31997000000000003,2023-08-24,0.376984126984127,0.0005,0.34,0.01035,0.231176307282808,0.36111616727472806,0.07357686859024294,8.24624798794686
0.32298000000000004,2023-08-25,0.373015873015873,0.0005,0.34,0.01081,0.2235371326142226,0.3796005651267089,0.07508376754781411,8.632126726010629
0.3237,2023-08-28,0.3611111111111111,0.0005,0.34,0.01045,0.2186369885354185,0.3794740432345396,0.07403304604021406,8.949025205998968
0.32841000000000004,2023-08-29,0.35714285714285715,0.0005,0.34,0.01225,0.21870658491539624,0.421272162166114,0.07676782842922543,9.11260786884248
0.32879,2023-08-30,0.3531746031746032,0.0005,0.34,0.012150000000000001,0.21652774150158344,0.4227628613459516,0.07648578561809145,9.252104292279338
0.32776,2023-08-31,0.3492063492063492,0.0005,0.34,0.011550000000000001,0.21551081762339525,0.41182834683883496,0.07537436074460131,9.323104111869133
0.32866,2023-09-01,0.34523809523809523,0.0005,0.34,0.0109,0.2031493217193481,0.41174482225365133,0.07514706961790853,9.919373870073205
0.33355,2023-09-05,0.32936507936507936,0.0005,0.34,0.013800000000000002,0.21819390950284984,0.464531193747281,0.0760656907936704,9.51364076097944
0.33288,2023-09-06,0.3253968253968254,0.0005,0.34,0.01323,0.21596272662108523,0.4566508283035814,0.07530614447286779,9.670810959474768
0.32991000000000004,2023-09-07,0.32142857142857145,0.0005,0.34,0.012,0.21843420450186643,0.42855893868473277,0.07341904975628771,9.60755050818984
0.33426999999999996,2023-09-08,0.31746031746031744,0.0005,0.34,0.01365,0.21572581541620317,0.46901157189846093,0.07490992484235026,9.789330546948216
0.33794,2023-09-11,0.3055555555555556,0.0005,0.34,0.015099999999999999,0.2153130062245128,0.5038823283971056,0.0745202310196479,9.918238423658904
0.33177,2023-09-12,0.30158730158730157,0.0005,0.34,0.011800000000000001,0.21143318008426637,0.4397202899396433,0.07185515665256895,10.237585022614113
0.33606,2023-09-13,0.2976190476190476,0.0005,0.34,0.013800000000000002,0.2131202213186972,0.48371240559051426,0.07307942125607966,10.201782780063075
0.3387,2023-09-14,0.29365079365079366,0.0005,0.34,0.01483,0.21068712445922516,0.5098996824516931,0.073199330775064,10.313534900295128
0.33022,2023-09-15,0.2896825396825397,0.0005,0.34,0.0104,0.20523164351700748,0.41773728670811416,0.06939182866566833,10.703725032379438
0.32906,2023-09-18,0.2777777777777778,0.0005,0.34,0.0089,0.19433490728433955,0.3948313065260996,0.0667702218240686,11.42310886114314
0.32865,2023-09-19,0.27380952380952384,0.0005,0.34,0.00945,0.2064850006803524,0.3978386810718366,0.06634491825555472,10.864339556220214
0.32077,2023-09-20,0.2698412698412698,0.0005,0.34,0.00756,0.22328328279824675,0.3289531908338752,0.060267124089041356,9.721390725436423
0.31953,2023-09-21,0.26587301587301587,0.0005,0.34,0.006549999999999999,0.21448931043956188,0.3067976129267391,0.05786183777681295,9.93777202321828
0.31701,2023-09-22,0.2619047619047619,0.0005,0.34,0.00552,0.21087609284474518,0.2763985960810685,0.05426843065206858,9.777562424876054
0.31754000000000004,2023-09-25,0.25,0.0005,0.34,0.00525,0.20800747147737064,0.27295321550149876,0.05278183604544358,10.066272178713499
0.31214,2023-09-26,0.24603174603174602,0.0005,0.34,0.00408,0.213099962502615,0.225180630112222,0.04645549108673279,9.094182836057731
0.31279,2023-09-27,0.24206349206349206,0.0005,0.34,0.0039900000000000005,0.20971787285677465,0.22492781481050894,0.046145899180363485,9.29100415837248
0.31364,2023-09-28,0.23809523809523808,0.0005,0.34,0.0039,0.20536980106709266,0.22542100338105325,0.045947432698462784,9.552368502160851
0.31575,2023-09-29,0.23412698412698413,0.0005,0.34,0.0040999999999999995,0.20083618736880537,0.2383428936245111,0.047315996393634596,10.093175677825025
0.32180000000000003,2023-10-02,0.2222222222222222,0.0005,0.34,0.0056500000000000005,0.2045750670446985,0.3011466551838389,0.05283519575008777,11.223054008213317
0.31339,2023-10-03,0.21825396825396826,0.0005,0.34,0.00401,0.21825018114524428,0.2274581980200941,0.0441801358069734,9.443652898096097
0.318955,2023-10-04,0.21428571428571427,0.0005,0.34,0.00497,0.21109115613191115,0.27294351654555926,0.04908337536656605,10.666264127445311
0.31936000000000003,2023-10-05,0.21031746031746032,0.0005,0.34,0.0049299999999999995,0.20997400920090084,0.2738788760056209,0.048771062704717955,10.828300764801476
0.32726,2023-10-06,0.20634920634920634,0.0005,0.34,0.007,0.20398793807916962,0.3576672172785489,0.05549096684288719,12.30918074236689
0.32982,2023-10-09,0.19444444444444445,0.0005,0.34,0.00805,0.2118001617194914,0.3906040462172051,0.055825623854564965,12.46114024104854
0.32838999999999996,2023-10-10,0.19047619047619047,0.0005,0.34,0.0072,0.20839489120862992,0.3686307892342718,0.05404814883981734,12.626215918754289
0.33242,2023-10-11,0.1865079365079365,0.0005,0.34,0.008400000000000001,0.2036509638571518,0.4163188681721006,0.056007853688675564,13.344148082023933
0.33116,2023-10-12,0.18253968253968253,0.0005,0.34,0.0078,0.20428351338040723,0.39853172778467894,0.05460941810009935,13.35368697366287
0.32773,2023-10-13,0.17857142857142858,0.0005,0.34,0.0066,0.20831472358820494,0.3547566653167188,0.05154661263092642,12.901368951705201
0.33264,2023-10-16,0.16666666666666666,0.0005,0.34,0.008150000000000001,0.20900716324695595,0.4157251156236508,0.05296290196425571,13.740828167973817
