Underlying,Date,T,r,E,Pobs,volatility,Delta,Vega,Gamma
0.31214,2023-09-26,0.20634920634920634,0.0005,0.285,0.00455,0.26249984566411716,-0.20516166062549046,0.040305532178135366,7.637196281799502
0.31279,2023-09-27,0.20238095238095238,0.0005,0.285,0.00415,0.25833054476033496,-0.19500735388589374,0.038797030083009464,7.584856459374083
0.31339,2023-10-03,0.17857142857142858,0.0005,0.285,0.00412,0.2772068495944203,-0.19215799947235457,0.036187053438627936,7.443325696510359
0.32188,2023-08-21,0.3492063492063492,0.0005,0.29,0.0056,0.2362018278413701,-0.20660274007402113,0.05429405559972842,6.353293410787066
0.32245999999999997,2023-08-22,0.34523809523809523,0.0005,0.29,0.0057,0.2416217921585948,-0.2062418272246469,0.05402596364606469,6.22867985897093
0.31997000000000003,2023-08-24,0.3373015873015873,0.0005,0.29,0.00605,0.24112004981054408,-0.21960991047246647,0.054967378833984004,6.601380949324056
0.32298000000000004,2023-08-25,0.3333333333333333,0.0005,0.29,0.00497,0.23403836700402766,-0.1932666169648446,0.051133289195328405,6.283283641171124
0.3237,2023-08-28,0.32142857142857145,0.0005,0.29,0.00495,0.24052177171823935,-0.19063388590608676,0.049903122621680576,6.160322530263465
0.31701,2023-09-22,0.2222222222222222,0.0005,0.29,0.00463,0.2500225949887178,-0.20741025798593182,0.0427549474866764,7.657265549390229
0.31754000000000004,2023-09-25,0.21031746031746032,0.0005,0.29,0.00425,0.25035606734240723,-0.1980814909606069,0.04053337651476195,7.634532570799456
0.31214,2023-09-26,0.20634920634920634,0.0005,0.29,0.0055,0.2542677517925973,-0.24333770103753927,0.04441096975947628,8.687550028274892
0.31279,2023-09-27,0.20238095238095238,0.0005,0.29,0.00509,0.25102483882528176,-0.2335315175051227,0.04309184966570477,8.669680316136997
0.31364,2023-09-28,0.1984126984126984,0.0005,0.29,0.0048,0.251033813558288,-0.22434106289951972,0.04183004275752172,8.537362672191842
0.31575,2023-09-29,0.19444444444444445,0.0005,0.29,0.00412,0.24793604141572576,-0.2022365950935494,0.03924068933290266,8.164220155107518
0.31339,2023-10-03,0.17857142857142858,0.0005,0.29,0.00525,0.27461667065967904,-0.233549011405491,0.04055707454923132,8.420880059279165
0.32188,2023-08-21,0.3492063492063492,0.0005,0.295,0.006549999999999999,0.22965852609380957,-0.23832591053223318,0.058905657034993085,7.089315664591387
0.32245999999999997,2023-08-22,0.34523809523809523,0.0005,0.295,0.00635,0.22994339739981492,-0.23343149192247092,0.058008209919366546,7.027455575377685
0.327,2023-08-23,0.3412698412698413,0.0005,0.295,0.0055,0.23370333431867835,-0.205015511585376,0.05427834596606614,6.364558467035697
0.31997000000000003,2023-08-24,0.3373015873015873,0.0005,0.295,0.00679,0.22974377562910475,-0.2492260439109082,0.05895559386994953,7.430950304064313
0.32298000000000004,2023-08-25,0.3333333333333333,0.0005,0.295,0.0058200000000000005,0.22656088378815104,-0.22379893694952013,0.05575582769539497,7.0774259071563375
0.3237,2023-08-28,0.32142857142857145,0.0005,0.295,0.0058,0.23327497897061605,-0.22084691566430337,0.054459084095659624,6.931580912894043
0.32841000000000004,2023-08-29,0.31746031746031744,0.0005,0.295,0.0048,0.23404470290334792,-0.18923250924476698,0.05008803208330226,6.250474113638684
0.32077,2023-09-20,0.23015873015873015,0.0005,0.295,0.0045899999999999995,0.23513053993596694,-0.21189762365593734,0.044585530283766085,8.00700231641914
0.31953,2023-09-21,0.2261904761904762,0.0005,0.295,0.00507,0.24163302158802344,-0.22557382583456498,0.0456425440617409,8.179296752051247
0.31701,2023-09-22,0.2222222222222222,0.0005,0.295,0.0057,0.2445713119460155,-0.24738359047575476,0.04722317873256117,8.646021151246753
0.31754000000000004,2023-09-25,0.21031746031746032,0.0005,0.295,0.00533,0.24617165212580114,-0.23898767321762926,0.04516656269827426,8.651806360272264
0.31214,2023-09-26,0.20634920634920634,0.0005,0.295,0.006860000000000001,0.2506337231347861,-0.28982931883076246,0.04852247874997292,9.629457440147911
0.31279,2023-09-27,0.20238095238095238,0.0005,0.295,0.006549999999999999,0.25047780858687,-0.282002603461907,0.047531061945377755,9.583693303123432
0.31364,2023-09-28,0.1984126984126984,0.0005,0.295,0.005900000000000001,0.24402951416852664,-0.2679807851256085,0.04601954674308122,9.66201322665246
0.31575,2023-09-29,0.19444444444444445,0.0005,0.295,0.00513,0.24143571777284156,-0.24427012298431006,0.04369955783525083,9.336697006191622
0.32180000000000003,2023-10-02,0.18253968253968253,0.0005,0.295,0.0038,0.2486870526130236,-0.1915011590915019,0.037490079833066375,7.975057437762945
0.31339,2023-10-03,0.17857142857142858,0.0005,0.295,0.0063,0.2647651335838489,-0.27517382925716183,0.04420240632184133,9.519253175017823
0.318955,2023-10-04,0.1746031746031746,0.0005,0.295,0.0046,0.2599338687214027,-0.21948522577156848,0.03940945147227195,8.535452591743601
0.31936000000000003,2023-10-05,0.17063492063492064,0.0005,0.295,0.00425,0.2562633628116001,-0.21090961517744833,0.0381164281215437,8.546665786300549
0.32188,2023-08-21,0.3492063492063492,0.0005,0.3,0.00785,0.2261425629603111,-0.27595470659249166,0.0635762724446384,7.770386738640375
0.32245999999999997,2023-08-22,0.34523809523809523,0.0005,0.3,0.00795,0.23154427812738174,-0.2742658793490438,0.06313675305524633,7.595874474344372
0.327,2023-08-23,0.3412698412698413,0.0005,0.3,0.00645,0.2274041761458607,-0.2368682910328559,0.058959878947651305,7.105010620033254
